,img_id_A,img_id_B,target,f1_x,f2_x,f3_x,f4_x,f5_x,f6_x,f7_x,f8_x,f9_x,f1_y,f2_y,f3_y,f4_y,f5_y,f6_y,f7_y,f8_y,f9_y
27,1107c,1103a,0,0,2,1,3,2,2,1,0,2,3,2,0,1,0,1,1,2,1
28,0317a,0317b,1,1,1,0,2,0,1,1,2,1,0,4,0,0,0,2,2,3,2
29,0366a,0366b,1,2,4,1,3,2,2,0,3,2,3,1,2,4,3,2,0,2,2
30,0593a,0593b,1,3,1,1,0,2,2,3,0,2,3,4,1,0,2,2,3,3,2
31,1546b,1194a,0,3,1,1,0,0,3,0,3,2,3,1,1,1,2,1,1,2,1
32,1393a,1393b,1,2,4,1,0,2,2,0,4,2,2,1,1,3,0,2,0,3,2
33,1533c,1533a,1,1,2,1,3,2,1,0,1,1,3,3,0,3,2,2,0,3,2
34,1442a,1442c,1,3,2,1,0,2,2,0,1,2,1,1,1,0,0,2,0,2,1
35,0477a,1243a,0,2,1,1,1,2,1,0,0,2,1,0,1,3,2,2,1,3,2
36,1451c,0353c,0,0,0,1,0,2,2,0,0,2,1,2,1,1,2,3,0,1,2
37,0365a,0365c,1,0,2,1,0,2,2,0,1,2,0,4,0,3,0,1,1,2,1
38,1463a,0576b,0,2,1,1,0,2,2,1,1,1,1,1,1,3,0,2,3,0,2
39,1091c,1091a,1,2,4,0,2,2,2,0,2,2,3,1,2,4,2,2,3,4,2
40,1240b,1408a,0,1,1,1,1,0,1,0,3,2,3,1,0,3,2,1,0,3,2
41,1518c,0538a,0,2,1,1,0,2,1,0,1,2,2,1,0,3,2,2,1,4,2
42,0600b,0600c,1,0,1,1,3,2,2,0,1,2,3,1,1,3,2,2,1,0,2
43,0597b,0597a,1,2,4,1,3,2,3,0,3,2,3,4,2,0,2,3,3,1,1
44,1367a,1367b,1,2,0,1,1,2,2,3,2,2,1,1,0,1,2,1,0,3,2
45,1309a,0539a,0,0,1,1,0,2,2,0,2,2,2,4,1,3,2,2,1,2,2
46,0496d,0496e,1,2,1,1,1,2,2,0,1,1,2,1,0,1,2,3,0,2,2
47,0319c,0319b,1,2,0,0,0,2,2,0,2,2,1,1,1,1,2,3,0,2,1
48,0517b,0517a,1,3,0,1,3,0,1,0,3,2,3,0,1,0,2,0,1,1,2
49,1144c,1099c,0,1,1,1,2,2,1,0,0,2,2,4,0,2,2,2,0,3,2
50,0333a,1271b,0,2,1,1,3,2,1,2,0,1,3,4,2,2,0,2,1,3,2
51,0431c,0431b,1,2,0,1,0,2,2,2,3,2,3,0,2,1,2,3,0,2,2
52,1495a,0521c,0,2,1,0,3,2,1,0,3,2,3,1,2,1,0,2,1,3,2
53,0600a,0597b,0,2,1,1,0,2,1,0,3,2,2,4,1,3,2,3,0,3,2
54,1219b,1328b,0,2,0,1,0,2,1,0,3,2,1,2,1,0,2,2,3,2,2
55,1374b,1374c,1,1,1,1,0,2,2,2,2,1,3,0,1,0,2,1,0,3,2
56,0359a,1097a,0,2,1,1,0,2,2,0,2,2,3,2,1,0,2,2,0,4,2
57,1224c,0911c,0,1,0,1,1,2,1,1,2,2,2,4,2,3,2,3,3,2,2
58,0306a,0306b,1,3,1,1,2,2,2,0,1,2,2,1,0,2,2,2,0,2,2
59,1086b,1086c,1,0,1,1,1,2,2,1,0,1,2,1,1,1,0,1,1,2,1
60,1490c,1490b,1,0,1,1,3,2,2,0,2,2,1,0,1,3,2,1,0,2,2
61,0491b,1146c,0,2,1,1,0,2,1,1,0,2,3,0,1,3,2,2,1,4,2
62,1367a,0324b,0,2,0,1,1,2,2,3,2,2,0,1,1,3,0,2,1,1,1
63,1471c,1212c,0,1,1,1,0,0,1,1,1,2,2,0,1,0,0,2,2,2,1
64,0367a,0367b,1,2,1,1,0,2,2,0,4,2,1,1,1,0,2,2,1,2,2
65,0570c,0411a,0,3,4,1,1,2,2,0,1,2,3,1,1,0,2,1,1,4,2
66,1485a,1377c,0,3,4,1,0,2,2,2,2,2,2,1,0,2,2,3,0,3,2
67,1361b,1361a,1,1,0,1,3,2,2,0,4,2,1,4,1,0,0,2,3,3,2
68,0496f,0496e,1,2,4,1,0,2,2,1,2,2,2,1,0,1,2,3,0,2,2
69,0552a,0552b,1,2,1,1,0,2,2,1,2,1,2,0,1,3,2,2,0,0,2
70,1180a,1442b,0,2,1,1,2,2,2,1,1,2,2,2,1,3,2,2,1,4,2
71,0359a,0359b,1,2,1,1,0,2,2,0,2,2,3,2,1,0,2,2,3,0,2
72,1442a,1391b,0,3,2,1,0,2,2,0,1,2,3,4,1,0,2,2,1,4,2
73,1417a,1348c,0,1,1,0,0,2,3,1,3,2,1,3,1,1,2,2,2,0,1
74,0380a,0380b,1,1,4,1,3,2,2,3,1,2,1,3,2,3,3,2,0,2,2
75,1374b,0390a,0,1,1,1,0,2,2,2,2,1,0,0,1,0,1,2,1,2,2
76,0367b,0367c,1,1,1,1,0,2,2,1,2,2,3,1,1,3,2,2,0,1,2
77,1477a,1477c,1,3,0,1,3,2,1,1,0,2,3,1,1,2,2,2,1,0,1
78,0355c,1485a,0,1,1,1,1,2,1,0,1,2,3,4,1,0,2,2,2,2,2
79,1445a,1445b,1,0,1,1,3,2,2,0,3,2,2,1,1,2,2,2,0,0,2
80,0551c,1254b,0,3,2,1,0,0,2,0,2,2,2,1,0,2,2,2,1,3,2
81,1197a,1197b,1,1,4,1,3,0,2,1,0,2,0,0,1,4,2,3,0,4,2
82,0525a,0525c,1,1,2,1,3,2,1,1,1,1,1,1,1,2,2,1,2,1,1
83,0458c,0521a,0,3,0,1,0,2,2,0,3,2,2,1,1,1,2,1,3,0,2
84,1430a,1430b,1,2,1,1,0,2,3,3,3,2,1,1,1,1,1,2,0,3,2
85,1137a,1391a,0,1,1,1,0,2,1,0,1,2,3,4,1,3,2,3,0,3,2
86,0302c,0302b,1,3,1,0,2,2,3,0,3,2,2,2,2,4,3,3,3,4,2
87,0354b,0354a,1,3,1,1,0,2,3,1,4,2,2,1,1,4,2,1,0,4,2
88,1323b,1532a,0,1,1,0,2,2,1,1,3,2,0,2,1,0,2,1,1,1,1
89,1174a,1374b,0,1,1,1,1,2,3,0,4,2,1,1,1,0,2,2,2,2,1
90,1127b,1127c,1,3,1,1,0,2,2,1,0,2,2,4,1,0,2,2,0,2,2
91,1224c,1224b,1,1,0,1,1,2,1,1,2,2,2,4,2,4,3,3,3,4,2
92,1362a,1362c,1,3,1,1,3,2,2,0,0,2,3,0,1,0,2,2,0,2,2
93,0445c,0327c,0,2,4,1,3,0,2,0,4,2,1,1,1,1,2,1,1,2,1
94,0560c,0560a,1,1,1,1,0,2,1,1,0,2,2,4,1,0,0,2,0,3,2
95,1201b,0535a,0,2,0,1,0,2,3,0,4,2,2,4,1,1,2,2,2,1,1
96,0550a,1201b,0,3,4,1,3,2,2,0,0,2,2,0,1,0,2,3,0,4,2
97,1336a,1336c,1,0,1,1,2,2,2,0,0,2,0,1,1,0,2,3,0,0,2
98,1330a,0506b,0,3,2,1,3,2,2,0,0,2,2,2,1,2,2,2,1,0,1
99,1545a,1545c,1,0,1,1,0,2,2,1,2,2,2,1,1,3,2,3,0,1,2
100,1271a,1271c,1,1,1,1,2,0,1,1,4,1,0,1,2,4,2,2,2,2,2
101,0535b,0535c,1,0,0,1,2,2,2,1,4,2,1,2,1,3,2,1,3,3,2
102,0458b,0597b,0,3,2,1,3,2,2,1,3,2,2,4,1,3,2,3,0,3,2
103,1257b,1257a,1,3,4,1,0,2,2,0,3,2,2,1,1,2,2,1,0,3,2
104,1134a,1134b,1,2,0,1,3,2,2,1,0,2,3,4,1,1,2,2,0,2,2
105,0561a,1458b,0,2,1,1,3,2,1,0,1,2,1,1,1,0,2,2,1,2,1
106,0518a,0866c,0,2,1,1,0,0,2,2,1,1,3,0,1,0,0,2,2,2,1
107,1260a,1544a,0,0,1,1,1,2,2,0,4,2,3,4,1,0,2,2,3,4,2
108,1445b,1445c,1,2,1,1,2,2,2,0,0,2,2,1,1,0,2,3,0,0,2
109,1531c,1531a,1,3,1,1,0,2,3,1,2,2,2,0,1,0,2,3,0,3,2
110,1323a,1323b,1,2,0,1,1,2,3,2,3,2,1,1,0,2,2,1,1,3,2
111,0412b,1361a,0,3,4,1,3,2,2,3,0,2,1,4,1,0,0,2,3,3,2
112,0556a,0556b,1,2,1,1,1,0,2,0,4,1,0,2,0,1,0,2,1,1,1
113,0546c,1383c,0,2,0,1,3,2,1,3,1,2,1,1,1,1,0,2,2,2,1
114,1121a,1121c,1,2,1,1,3,2,2,0,1,2,1,1,1,0,2,2,0,1,2
115,0570c,0570a,1,3,4,1,1,2,2,0,1,2,2,1,0,3,0,2,1,3,2
116,1375a,1319a,0,1,0,1,1,2,2,0,3,2,2,0,1,0,2,2,3,4,2
117,1178a,1178c,1,3,4,1,3,0,2,0,3,2,2,4,1,3,0,2,1,0,2
118,1543a,1543c,1,3,1,1,0,2,2,0,4,2,1,1,1,1,2,2,0,2,1
119,0489c,0489b,1,1,1,1,1,2,2,1,2,1,1,0,1,0,2,3,3,4,2
120,0491b,0491c,1,2,1,1,0,2,1,1,0,2,2,2,1,0,2,2,0,4,2
121,1255b,1255c,1,1,1,1,1,2,2,1,4,2,2,1,1,0,1,2,0,2,2
122,0540a,0540c,1,3,3,1,1,2,3,0,3,2,2,1,0,4,0,2,0,3,2
123,1463a,1463c,1,2,1,1,0,2,2,1,1,1,1,2,1,0,2,2,0,1,2
124,1255a,1549c,0,1,1,1,0,2,2,1,0,1,0,2,1,3,2,2,1,4,2
125,1475c,1197b,0,3,1,1,3,0,1,3,4,2,0,0,1,4,2,3,0,4,2
126,1448a,1448b,1,2,1,1,0,2,1,0,0,1,1,2,1,3,2,2,1,1,2
127,0456b,0456a,1,0,1,1,1,2,2,0,1,1,2,1,0,2,2,2,0,3,2
128,0385c,0385a,1,2,2,1,0,1,2,2,1,2,0,0,1,2,2,3,3,0,2
129,0539a,1167a,0,2,4,1,3,2,2,1,2,2,0,2,1,0,2,2,0,4,2
130,1391c,1454a,0,2,1,1,0,2,2,1,1,2,2,4,1,3,2,2,1,1,2
131,1468a,1468c,1,1,1,1,2,2,2,0,0,2,1,2,1,3,2,2,0,4,2
132,0372a,0319a,0,1,1,1,3,2,1,0,1,1,2,4,1,0,2,3,1,2,2
133,0375a,0375c,1,3,0,1,3,2,2,0,4,2,2,4,1,4,2,2,2,1,1
134,1219a,1219c,1,3,1,1,1,2,1,0,0,2,2,4,0,1,2,3,0,1,2
135,1393a,1393c,1,2,4,1,0,2,2,0,4,2,1,4,1,0,2,2,1,2,2
136,0503a,0503b,1,2,1,1,0,2,3,0,2,2,2,1,1,1,2,2,1,1,2
137,1444a,1444b,1,0,1,1,0,2,3,0,3,2,1,0,1,1,2,2,0,0,1
138,0544a,0353c,0,0,1,1,0,2,2,0,1,1,1,2,1,1,2,3,0,1,2
139,1518c,1129c,0,2,1,1,0,2,1,0,1,2,1,2,1,3,2,2,0,2,2
140,1453b,1453c,1,3,1,1,3,2,2,1,2,2,2,1,1,0,2,2,0,2,1
141,0381c,1286c,0,1,4,1,3,2,3,0,2,2,2,1,1,1,2,1,3,3,2
142,0576c,1477a,0,2,4,1,1,2,2,0,2,2,3,0,1,3,2,1,1,0,2
143,0321c,0321a,1,2,1,1,2,2,2,0,2,2,2,1,1,3,2,1,1,2,1
144,1447c,0392b,0,1,1,0,1,2,2,2,2,2,1,2,1,0,2,2,2,0,1
145,0421b,0421c,1,2,0,1,1,0,2,0,0,2,1,0,1,1,2,2,1,1,1
146,0600a,0600c,1,2,1,1,0,2,1,0,3,2,3,1,1,3,2,2,1,0,2
147,0507a,0544c,0,1,1,1,3,0,2,1,2,1,1,4,1,3,2,2,2,0,1
148,1508a,1508c,1,2,4,1,0,2,2,3,4,2,1,4,1,1,0,2,0,0,2
149,0385c,1091a,0,2,2,1,0,1,2,2,1,2,3,1,2,4,2,2,3,4,2
150,0594c,0555a,0,0,4,2,4,2,2,0,3,2,1,4,0,2,0,2,3,4,1
151,1430b,1430c,1,1,1,1,1,1,2,0,3,2,0,0,1,3,2,3,0,3,2
152,1282b,1441c,0,2,2,1,3,2,2,0,2,2,1,1,1,1,2,2,1,1,1
153,0304a,1361a,0,2,1,1,1,2,0,1,2,2,1,4,1,0,0,2,3,3,2
154,1448b,1448c,1,1,2,1,3,2,2,1,1,2,3,4,1,3,2,2,1,1,2
155,0363b,0363a,1,1,1,1,1,2,1,0,1,1,0,0,1,1,2,2,1,1,2
156,1234a,1234c,1,3,4,1,3,2,2,0,3,2,2,1,0,2,2,3,0,2,2
157,0338b,0338a,1,2,1,1,3,2,1,0,3,2,2,4,1,0,2,3,0,1,2
158,0302a,0302c,1,2,0,1,1,0,2,1,1,1,3,1,0,2,2,3,0,3,2
159,1129a,0377a,0,3,1,1,0,2,2,3,1,2,1,4,1,1,2,2,0,1,2
160,1334a,1334c,1,3,1,1,0,2,3,0,2,2,3,4,1,3,2,3,1,2,2
161,1520c,0353b,0,2,1,1,3,1,2,0,1,2,2,1,1,1,2,1,1,2,1
162,1458a,1336b,0,0,1,1,3,2,2,1,1,2,3,1,1,3,2,3,0,4,2
163,0514c,0496e,0,3,1,0,2,2,2,0,1,2,2,1,0,1,2,3,0,2,2
164,1565a,1236b,0,2,4,1,3,2,2,0,1,2,3,4,1,0,2,2,1,0,2
165,1365c,1365b,1,2,2,1,1,2,2,1,2,2,0,4,1,3,2,2,1,0,2
166,1471b,1471c,1,1,0,1,0,2,2,0,4,2,1,1,1,0,0,1,1,1,2
167,0537c,1309c,0,2,2,1,3,2,2,2,0,1,1,1,0,1,0,1,0,2,1
168,1563a,1147c,0,0,1,1,3,2,3,0,0,2,0,4,1,1,2,2,0,4,2
169,0592c,1557a,0,1,2,1,1,2,3,0,3,2,2,1,2,3,3,2,0,1,2
170,1171a,1440b,0,1,2,1,3,2,3,0,0,2,0,4,0,2,0,2,0,4,1
171,0317a,0317c,1,1,1,0,2,0,1,1,2,1,0,0,0,2,2,3,1,3,2
172,0431c,0431a,1,2,0,1,0,2,2,2,3,2,3,2,1,3,1,2,3,2,2
173,1273a,0311c,0,1,2,1,0,0,2,1,0,2,0,0,1,0,0,2,2,1,1
174,1531a,0354a,0,2,0,1,0,2,3,0,3,2,2,1,1,4,2,1,0,4,2
175,1463a,1413c,0,2,1,1,0,2,2,1,1,1,1,4,1,3,2,2,1,2,2
176,1153a,1153b,1,0,1,1,1,2,2,0,0,2,0,4,1,3,2,2,1,2,2
177,1140a,1140b,1,3,4,0,2,2,1,1,3,2,0,0,1,3,0,1,1,2,1
178,0411b,0411a,1,1,2,1,1,2,2,0,1,2,3,1,1,0,2,1,1,4,2
179,1494a,0319c,0,1,0,1,1,2,2,0,1,2,2,0,0,0,2,2,0,2,2
180,0375a,0375b,1,3,0,1,3,2,2,0,4,2,1,3,0,1,0,2,0,2,1
181,0544b,0597c,0,2,1,1,3,2,3,0,0,2,1,4,1,0,2,2,1,1,2
182,1520c,0535b,0,2,1,1,3,1,2,0,1,2,0,0,1,2,2,2,1,4,2
183,0561a,1452b,0,2,1,1,3,2,1,0,1,2,1,0,1,3,2,2,0,2,2
184,1373a,1451b,0,3,4,1,3,2,2,2,1,2,3,1,1,3,2,3,3,3,2
185,0429a,1124c,0,2,0,1,3,2,3,0,4,2,3,1,1,0,2,0,1,2,2
186,0536b,1501c,0,1,0,1,2,2,2,0,3,2,0,1,1,0,0,2,1,2,1
187,0313b,0587c,0,2,1,0,2,2,2,0,0,2,1,4,0,3,2,3,1,3,2
188,0969a,1416c,0,2,2,1,1,2,2,1,2,1,1,4,1,3,2,3,1,4,2
189,1305a,1305c,1,1,1,1,0,2,2,0,0,2,1,1,1,3,2,2,0,1,2
190,0585b,0585c,1,3,1,2,3,2,3,1,4,2,0,1,0,2,2,1,1,0,2
191,0334a,0334c,1,2,0,1,0,2,3,0,0,2,1,4,1,3,0,2,0,0,2
192,1319a,1319c,1,2,0,1,0,2,2,3,4,2,1,0,1,0,2,0,1,4,2
193,1222c,1222a,1,0,1,1,0,2,2,1,2,1,2,1,0,2,2,1,0,3,2
194,1402a,1402b,1,2,1,1,1,2,1,0,3,2,1,2,1,3,0,2,1,3,2
195,0355c,0355a,1,1,1,1,1,2,1,0,1,2,3,2,1,3,2,3,0,3,2
196,0323c,0323a,1,1,0,1,1,0,1,0,0,1,3,4,2,4,2,2,3,2,2
197,1305b,1305c,1,2,1,1,0,2,2,1,2,2,1,1,1,3,2,2,0,1,2
198,1305a,1134a,0,1,1,1,0,2,2,0,0,2,2,0,1,3,2,2,1,0,2
199,1508c,1323c,0,1,4,1,1,0,2,0,0,2,1,0,1,1,2,2,3,0,1
200,0357b,0585b,0,2,1,0,0,0,2,2,3,2,3,1,2,3,2,3,1,4,2
201,0337a,0337c,1,2,1,1,3,2,2,3,2,1,3,4,1,1,2,1,1,3,2
202,1294a,1294c,1,1,0,1,0,2,1,0,0,1,3,0,1,3,2,3,1,0,2
203,1119a,1119c,1,1,1,1,0,0,2,0,1,2,2,1,1,3,2,2,1,2,1
204,1284b,1284c,1,1,1,1,3,0,2,0,1,2,3,1,1,0,2,1,1,2,2
205,0537b,0537c,1,2,1,0,3,0,2,1,4,2,2,2,1,3,2,2,2,0,1
206,0461a,0531a,0,3,1,1,3,0,2,0,0,2,2,2,1,1,2,2,0,3,2
207,0531a,0365b,0,2,2,1,1,2,2,0,3,2,2,1,1,3,0,2,0,2,1
208,0327b,0327a,1,0,1,1,1,1,2,0,3,2,3,1,1,1,2,0,0,4,2
209,1423a,1504b,0,3,1,1,1,2,2,2,1,1,3,1,1,3,1,2,0,4,2
210,1374b,0319a,0,1,1,1,0,2,2,2,2,1,2,4,1,0,2,3,1,2,2
211,1386b,1386c,1,3,1,1,0,2,2,0,1,2,3,1,1,3,2,2,0,2,2
212,1461b,1461c,1,2,2,1,0,2,1,0,0,2,2,4,1,3,2,1,0,3,2
213,0473a,0357a,0,1,2,1,0,0,2,1,1,2,3,4,1,1,2,3,2,3,2
214,0372a,0522b,0,1,1,1,3,2,1,0,1,1,2,1,0,2,2,2,0,4,2
215,0515a,0540a,0,1,1,1,3,2,2,2,2,1,3,3,1,1,2,3,0,3,2
216,1551a,1122a,0,0,1,1,0,2,2,3,3,2,2,1,1,3,0,1,0,2,1
217,1461c,1461a,1,2,4,1,3,2,1,0,3,2,1,0,1,1,2,0,0,1,2
218,1413b,1413c,1,0,1,1,0,2,1,0,2,2,1,4,1,3,2,2,1,2,2
219,1417b,1417a,1,3,4,1,0,2,3,0,3,2,1,1,0,0,2,3,1,3,2
220,1127a,1127c,1,1,1,1,3,2,2,1,3,2,2,4,1,0,2,2,0,2,2
221,0536a,1267a,0,2,1,1,0,2,3,0,4,2,2,1,1,0,2,2,2,2,1
222,0323a,0323b,1,3,4,2,4,2,2,3,2,2,3,0,0,1,0,3,1,1,1
223,0489b,0489a,1,1,0,1,0,2,3,3,4,2,1,4,2,0,2,3,1,2,2
224,0333c,0333a,1,3,2,1,1,2,1,1,1,2,2,1,1,3,2,1,2,0,1
225,1516a,0923c,0,2,0,1,0,2,2,1,1,2,1,1,1,2,2,3,0,4,2
226,0547c,1140a,0,1,2,1,3,2,1,2,1,1,3,4,0,2,2,1,1,3,2
227,1167a,1367a,0,0,2,1,0,2,2,0,4,2,2,0,1,1,2,2,3,2,2
228,1445a,1445c,1,0,1,1,3,2,2,0,3,2,2,1,1,0,2,3,0,0,2
229,1152b,1152a,1,2,1,1,1,2,3,0,3,2,3,4,0,2,2,1,0,2,2
230,1521a,1521b,1,2,2,1,0,2,2,1,1,2,3,1,1,3,0,2,3,3,2
231,0464a,1294a,0,1,0,1,3,2,3,1,0,2,1,0,1,0,2,1,0,0,1
232,0354a,0354c,1,2,1,1,4,2,1,0,4,2,1,0,0,1,0,1,3,2,2
233,0492a,0969b,0,3,4,1,1,2,2,0,4,2,2,0,1,1,2,1,1,2,1
234,0319a,0453c,0,2,4,1,0,2,3,1,2,2,1,1,1,2,0,1,1,2,1
235,0317b,0317c,1,0,4,0,0,0,2,2,3,2,0,0,0,2,2,3,1,3,2
236,1510c,1510a,1,2,1,1,1,2,2,0,3,2,1,1,1,0,2,1,0,3,2
237,0328a,0571c,0,3,1,0,2,2,3,0,2,2,1,0,1,1,0,1,0,1,1
238,0535a,0535c,1,2,4,1,1,2,2,2,1,1,1,2,1,3,2,1,3,3,2
239,1430a,1430c,1,2,1,1,0,2,3,3,3,2,0,0,1,3,2,3,0,3,2
240,1432a,1432b,1,2,4,1,0,2,1,0,1,2,3,1,1,0,1,2,1,4,2
241,0550a,0550c,1,3,4,1,3,2,2,0,0,2,2,0,1,1,2,2,0,4,2
242,0564b,0564c,1,2,2,1,2,0,2,1,1,1,0,1,1,1,1,1,0,3,2
243,1196b,1443c,0,0,2,1,0,2,2,1,2,1,0,1,1,1,2,1,1,2,1
244,0460b,0460c,1,1,4,0,0,2,3,3,3,2,2,4,2,1,2,2,2,1,2
245,0313c,1323c,0,0,1,1,3,2,2,1,1,1,1,0,1,1,2,2,3,0,1
246,1198b,0403a,0,1,0,1,3,2,0,2,2,1,2,0,2,1,0,1,0,1,1
247,0307a,1411c,0,2,0,1,3,2,2,0,4,2,0,1,1,3,2,3,0,2,2
248,1267c,1567c,0,1,0,1,0,2,2,0,1,1,2,4,1,4,2,2,0,2,2
249,1451b,0421a,0,3,1,1,3,2,3,3,3,2,3,2,1,3,2,3,3,3,2
250,0327a,0348c,0,3,1,1,1,2,0,0,4,2,3,1,0,2,2,2,3,3,2
251,0349a,0333c,0,3,1,1,1,2,1,0,1,2,3,2,1,1,2,1,1,1,2
252,1489a,1531b,0,1,1,1,3,2,2,0,0,2,2,1,1,3,2,1,1,3,2
253,0544a,1260b,0,0,1,1,0,2,2,0,1,1,2,1,1,1,2,1,1,0,2
254,0538a,0538c,1,2,1,0,3,2,2,1,4,2,2,2,1,0,2,2,2,1,2
255,0560c,0560b,1,1,1,1,0,2,1,1,0,2,0,1,1,0,2,2,1,0,1
256,0379b,0379c,1,3,1,1,0,2,2,0,3,2,2,1,1,2,2,2,0,3,2
257,1382b,1431a,0,2,1,1,0,0,2,0,0,2,3,1,1,3,2,1,3,0,2
258,1361b,0403c,0,1,0,1,3,2,2,0,4,2,1,0,0,0,2,2,0,3,2
259,0571a,0571c,1,2,4,1,3,2,3,0,1,2,1,0,1,1,0,1,0,1,1
260,0597c,1411c,0,1,4,1,0,2,2,1,1,2,0,1,1,3,2,3,0,2,2
261,1518c,0355c,0,2,1,1,0,2,1,0,1,2,1,1,1,1,2,1,0,1,2
262,0516a,0516b,1,2,0,1,0,0,3,0,3,2,0,1,0,2,2,2,0,1,2
263,1492a,1521c,0,1,1,1,3,2,1,0,0,2,0,1,1,2,2,2,1,0,2
264,1180b,1180c,1,1,1,1,0,2,2,1,1,1,2,4,1,0,2,3,0,3,2
265,1319a,0302a,0,2,0,1,0,2,2,3,4,2,2,0,1,1,0,2,1,1,1
266,0562a,0313b,0,0,1,1,3,2,2,1,4,2,2,1,0,2,2,2,0,0,2
267,0350b,0350a,1,2,1,1,3,2,1,1,4,2,3,2,1,0,1,2,1,3,2
268,0302a,0302b,1,2,0,1,1,0,2,1,1,1,2,2,2,4,3,3,3,4,2
269,0412b,0327a,0,3,4,1,3,2,2,3,0,2,3,1,1,1,2,0,0,4,2
270,1302a,1302b,1,2,1,1,3,2,2,0,0,2,3,1,1,0,2,2,0,2,2
271,1146b,1146c,1,2,0,1,3,2,1,1,1,2,3,0,1,3,2,2,1,4,2
272,0335a,0510c,0,1,1,1,2,2,2,1,0,2,3,1,1,1,2,1,1,0,2
273,1441b,1441c,1,2,0,1,0,0,2,0,2,2,1,1,1,1,2,2,1,1,1
274,1424a,1424c,1,3,4,1,0,2,2,1,2,2,1,1,1,3,2,2,1,1,1
275,1417c,1417b,1,1,1,1,3,2,2,1,2,1,3,4,1,0,2,3,0,3,2
276,0318c,0318b,1,3,2,1,3,2,2,0,4,2,1,2,1,0,0,2,0,0,2
277,1513a,1204a,0,2,0,1,3,2,3,0,3,2,0,0,1,0,2,2,1,0,2
278,1320b,1320c,1,3,1,1,0,2,1,0,0,2,2,2,1,0,2,2,0,3,2
279,0587a,0587b,1,1,1,1,2,2,2,2,0,2,0,1,1,0,2,1,1,0,1
280,0363c,0363b,1,1,1,1,0,2,2,3,0,2,1,1,1,1,2,1,0,1,1
281,1494a,1494c,1,1,0,1,1,2,2,0,1,2,3,4,1,3,2,3,3,3,2
282,1488c,1488b,1,3,0,1,0,2,2,0,1,2,2,2,1,0,0,2,1,1,1
283,0532b,0532c,1,2,1,1,3,0,2,0,1,1,2,2,1,3,2,3,0,2,2
284,1181a,1181b,1,1,0,1,0,2,1,0,2,2,2,1,0,2,2,1,1,0,2
285,1344b,1344c,1,3,4,1,3,2,2,0,2,2,3,1,1,3,2,2,1,4,2
286,0350b,1507b,0,2,1,1,3,2,1,1,4,2,1,0,1,1,2,2,3,0,2
