,img_id_A,img_id_B,target,f1,f2,f3,f4,f5,f6,f7,f8,f9
230,1197c,1197b,1,0,-1,0,0,-2,-1,0,1,-1
231,1475c,1197b,0,-1,1,0,-3,0,-1,-2,-1,-1
232,1494a,0319c,0,1,-1,0,3,0,2,0,2,-1
233,0597b,0327a,0,-2,-3,-1,0,0,-1,0,1,-1
234,1360b,0365a,0,0,0,0,1,0,2,2,-4,-1
235,0514c,0496e,0,-2,0,0,0,0,0,-1,-3,0
236,1227a,1227b,1,3,1,0,-1,-2,-2,3,0,0
237,1180b,1180c,1,-1,0,-2,-1,0,1,1,2,0
238,0570c,0411a,0,1,-4,0,2,0,-1,0,-1,0
239,0316a,0460b,0,0,-1,0,2,0,0,1,-3,0
240,1416a,1416c,1,-1,0,1,-3,0,0,-1,0,0
241,0457c,0457b,1,-1,-1,0,-3,0,-1,-1,0,0
242,0537a,1197c,0,0,0,-1,-2,0,-2,-3,-1,0
243,0597c,1411c,0,-1,-3,1,-2,-2,1,2,-1,-1
244,0375a,1294a,0,0,1,0,0,0,-1,0,1,0
245,1181c,0376c,0,3,3,0,-3,0,1,1,0,1
246,1447b,0450b,0,0,2,2,3,2,0,-2,0,0
247,0314c,0314a,1,0,0,-1,-2,0,1,0,0,0
248,1204a,1204b,1,-1,-1,0,3,0,-1,0,0,0
249,0551c,1254b,0,2,1,0,-2,-2,0,-1,-1,0
250,0561a,0396c,0,1,2,0,1,0,0,-2,1,0
251,1421a,1421b,1,0,-1,0,-1,-2,0,0,-2,0
252,1543a,1543c,1,0,3,1,-1,0,-1,1,0,0
253,0385c,1091a,0,-2,0,0,0,0,1,-1,-1,1
254,1475a,0324c,0,2,-4,1,-1,2,0,-3,0,1
255,1208a,1208c,1,-1,1,-1,1,2,1,-1,2,1
256,1491a,1491b,1,0,1,0,1,0,0,-1,0,0
257,1237b,1237c,1,1,0,-1,1,2,1,0,0,1
258,0333a,1309c,0,-1,-2,0,0,-2,-1,0,-1,-1
259,1284b,1284c,1,2,1,0,1,-1,1,1,-2,-1
260,0556a,0556c,1,-2,-2,0,-1,0,-2,2,-2,-1
261,1370a,1370b,1,0,-1,0,0,2,1,-1,3,0
262,0520a,1152c,0,-2,4,0,0,2,-1,1,-3,0
263,0381b,0381c,1,0,-2,0,-3,0,0,0,-1,0
264,1495b,1495c,1,1,-1,0,0,0,-2,1,1,-1
265,1329b,1430b,0,-1,1,0,2,0,0,-2,0,0
266,0333a,0376c,0,0,2,0,-2,0,1,0,1,0
267,1513b,1099a,0,1,0,0,-2,0,-1,0,3,0
268,0372b,1196a,0,2,3,0,-1,2,0,-1,1,1
269,1229c,1350a,0,1,-1,0,-3,0,1,1,-2,0
270,1517b,1517c,1,-2,0,0,-1,-2,0,-1,1,0
271,1497a,1497c,1,-1,-2,0,-1,0,0,-1,1,0
272,0317a,0317c,1,3,0,0,1,0,1,0,2,0
273,1303c,1303b,1,0,1,0,-2,2,2,0,-2,0
274,1362b,1362c,1,0,0,1,-3,0,-1,-1,-3,0
275,0969c,0969b,1,-2,1,0,-3,2,0,0,-1,1
276,0317c,0434a,0,0,-1,0,3,0,-1,-2,-2,1
277,1520c,0535b,0,-1,-3,0,-3,0,0,-2,1,0
278,0896a,0896c,1,1,4,0,2,0,1,2,-2,1
279,1489c,1538a,0,-2,1,0,2,2,-1,0,-2,0
280,0324b,0324a,1,0,1,1,1,-2,0,0,-1,0
281,1406a,1406c,1,-2,0,0,0,0,1,1,-2,-1
282,0492b,0492c,1,-2,-3,0,-3,0,0,0,1,0
283,0576c,0576b,1,0,-1,-1,0,-2,0,-1,4,1
284,0368c,1440b,0,-2,0,-1,-1,0,0,0,-2,0
285,0565a,0565c,1,1,1,0,-2,0,-1,-1,-3,0
286,0319a,1513c,0,1,0,0,2,0,0,0,0,1
287,1510b,1510a,1,-1,0,-2,2,2,-1,-1,0,0
288,1504b,1272a,0,-2,0,0,0,0,0,0,-3,0
289,0537a,0537b,1,1,3,0,-1,0,2,-3,1,0
290,0374c,0374a,1,0,0,0,-1,2,0,2,3,1
291,1406a,1406b,1,-1,-1,0,-2,0,-1,0,0,0
292,1393b,1393c,1,1,-1,0,-2,0,-1,1,-3,0
293,1521c,1521b,1,-2,-1,0,1,0,-1,0,-2,-1
294,1305a,1305c,1,-2,1,0,0,0,1,0,-1,0
295,1137a,1391a,0,-2,1,1,-1,0,-1,1,1,-1
296,1413a,1413b,1,-2,0,0,1,0,1,0,0,0
297,0563a,0353c,0,1,3,1,-1,0,0,1,0,0
298,0561a,1458b,0,-2,-3,0,0,0,-2,0,2,0
299,1528c,1335b,0,2,1,1,-1,2,1,2,-2,1
300,0477a,0477b,1,0,1,0,-1,0,1,0,0,0
301,1365a,1365b,1,1,0,0,-1,0,-2,-1,0,0
302,1119a,1119c,1,1,-1,0,2,2,0,-1,1,1
303,1221a,1221c,1,1,0,0,2,2,2,0,2,1
304,0585b,0585c,1,-1,-3,1,0,-1,0,0,3,0
305,0474c,0496a,0,-1,-4,0,-3,0,0,-1,-2,0
306,1236b,0553b,0,3,3,0,-3,0,0,1,2,1
307,1362a,1362c,1,-2,0,1,-2,-2,0,0,0,0
308,0600a,1471c,0,0,-1,1,3,0,1,0,-3,0
309,0355c,0355a,1,1,0,0,1,0,-1,-1,0,0
310,0565a,0565b,1,2,1,0,0,2,0,0,-1,1
311,0334a,1521c,0,1,0,0,-3,0,2,-2,1,0
312,1374b,0319b,0,-1,1,0,0,0,-1,-3,-2,0
313,0445c,0327c,0,0,-1,0,-2,0,-1,0,1,0
314,1458a,1336b,0,0,0,0,-2,2,2,-2,-1,0
315,1236c,1236b,1,1,-3,0,-2,0,1,-1,-1,0
316,1378a,1394b,0,1,-1,0,0,1,1,1,-1,-1
317,0403c,0366b,0,2,-1,0,0,0,0,0,2,0
318,1181b,1181c,1,1,1,0,0,0,0,0,3,0
319,1198b,0403a,0,-2,-3,1,1,0,-1,1,3,0
320,1286a,1286c,1,-1,1,0,-2,0,-2,-1,-4,-1
321,1219b,1328b,0,0,-2,1,-2,1,1,-3,0,0
322,0450c,0450b,1,-1,0,0,2,-2,0,-1,0,0
323,1153b,1153c,1,-3,-1,0,-3,0,-1,-3,-3,0
324,0507a,0544c,0,2,-1,0,2,0,1,-3,-2,0
325,0472b,0472a,1,1,-1,0,0,0,0,1,0,-1
326,0463a,0463b,1,1,0,0,0,0,0,1,-1,1
327,1267a,0431c,0,-1,-2,0,1,0,0,-1,0,1
328,1465b,1465c,1,-2,0,1,1,0,0,1,1,-1
329,1302b,1302c,1,-1,0,0,1,2,1,0,-1,0
330,0373b,1533a,0,2,3,0,0,-2,0,-1,3,1
331,1441b,1441c,1,0,0,0,3,0,0,0,-4,0
332,0405c,0375c,0,1,-3,1,2,2,-2,0,1,1
333,1370a,1370c,1,1,1,1,2,2,1,2,-2,0
334,1511b,0506b,0,-1,-3,0,0,0,0,-2,-1,0
335,1489a,1489b,1,1,-1,0,0,-2,1,-2,0,0
336,1374c,1374a,1,1,0,0,0,1,-1,1,-1,-1
337,0334c,0323b,0,0,0,-1,0,0,-1,-1,0,0
338,0350b,1507b,0,0,2,0,0,0,0,-1,-2,0
339,1309b,1366c,0,-1,-1,0,0,0,1,-1,3,0
340,1510a,0496c,0,-2,-1,0,-2,0,0,1,1,0
341,1302a,1302c,1,-1,-1,0,-1,0,0,-1,-2,0
342,1448a,1448c,1,1,-3,0,0,0,2,-1,0,0
343,0307b,1197c,0,2,0,0,2,2,1,0,3,0
344,1513b,1149c,0,-1,1,0,0,0,-1,0,-2,0
345,1508a,1508c,1,0,0,0,-2,0,-2,0,2,0
346,0327b,1140a,0,0,1,0,3,2,-1,0,-1,0
347,0969b,0330a,0,1,1,0,-1,0,0,2,-1,0
348,0381b,1255c,0,0,0,0,-1,0,1,-2,-2,0
349,1371c,1408c,0,0,-1,0,-1,0,-1,0,-1,0
350,0381a,0381c,1,1,4,0,2,0,1,0,2,0
351,0367a,1565a,0,-2,-3,0,3,0,-1,-1,0,-1
352,0374c,1131b,0,3,0,0,1,0,-1,-2,-2,0
353,0348b,0348c,1,0,-2,0,0,0,1,-2,0,0
354,1234b,1234c,1,0,-1,0,0,2,0,1,-2,-1
355,0458c,0322b,0,2,0,0,3,0,1,0,-1,1
356,1336a,1336b,1,-1,0,0,0,0,0,0,2,0
357,1440c,1440b,1,1,-1,0,0,0,-1,0,-3,0
358,1240b,1240c,1,1,3,1,3,0,1,-1,4,0
359,0324b,0324c,1,-1,-3,0,0,0,0,0,-3,0
360,1180a,1180b,1,0,0,0,-2,1,0,2,-3,-1
361,0597c,1208c,0,1,0,0,-2,0,-1,1,0,0
362,1194a,1348c,0,2,-3,0,-3,0,-1,2,-1,0
363,0873a,0873b,1,-2,-1,0,-3,0,0,0,2,0
364,1444a,1444b,1,-3,-3,0,0,0,-1,1,1,-1
365,1284a,0456c,0,2,4,0,3,2,0,0,1,1
366,1334c,0924b,0,-3,-3,0,2,0,0,1,3,0
367,1426c,1426a,1,-3,-1,0,1,0,0,-1,3,0
368,0451b,0455c,0,0,-1,0,-3,2,0,-3,1,0
369,1153b,0456b,0,-1,1,0,2,0,0,0,0,0
370,1374b,0489a,0,1,0,0,3,2,0,1,1,0
371,0600a,0600b,1,1,3,0,2,-2,1,-1,2,1
372,0531a,0365b,0,-1,-4,0,0,0,0,0,-1,0
373,1361b,0510c,0,1,3,0,-1,0,0,1,0,1
374,0323a,0323b,1,0,0,1,3,-1,-1,0,-3,-1
375,0348c,0911c,0,1,4,1,-2,0,-1,0,0,0
376,0472a,1181a,0,-1,1,0,1,0,0,-2,-1,0
377,1378b,0507a,0,0,0,0,-1,2,-2,-1,-3,1
378,1521a,1521c,1,0,0,1,3,0,0,0,1,0
379,1531c,1531a,1,0,-1,0,0,0,-1,3,-1,-1
380,1367b,1367c,1,2,1,0,-2,0,0,-1,-1,0
381,1463a,0445a,0,-2,-1,0,1,0,-1,-1,1,1
382,0333b,0333c,1,-1,0,1,1,0,-1,0,-3,-1
383,1361b,0403c,0,3,-1,0,-2,0,-1,0,0,0
384,0373a,0373c,1,-1,-1,0,-1,0,-1,-1,1,0
385,0441b,1191c,0,1,3,0,0,0,2,2,-2,0
386,1194a,1194c,1,1,3,0,2,-2,1,0,-1,1
387,0546c,0546b,1,2,0,0,3,1,0,1,-1,0
388,0458a,0381a,0,0,-1,0,-1,0,-1,1,2,0
389,0456c,0456a,1,3,-3,0,0,2,1,2,-2,1
390,0950a,0950b,1,-3,0,0,-1,0,-1,0,-4,0
391,1352b,1496a,0,2,0,0,3,0,1,0,4,1
392,1547a,1547b,1,0,-1,-1,-1,-2,0,-2,0,0
393,1402a,1402b,1,0,-1,-1,3,0,0,-1,3,0
394,1486b,1123a,0,-2,-4,0,-2,0,-1,-1,-1,0
395,0560a,0473a,0,1,4,0,2,0,1,1,1,1
396,0368b,0439a,0,2,-2,0,3,0,0,0,2,0
397,1144b,0349a,0,0,2,0,0,0,2,0,-3,-1
398,1137a,1137c,1,0,0,0,2,0,-1,0,0,0
399,1196b,1196c,1,-1,0,0,0,0,1,0,2,0
400,0431c,0431b,1,0,0,0,3,0,0,0,2,0
401,1155a,0434c,0,0,-3,1,1,-2,0,2,0,0
402,0421c,0421a,1,0,-3,0,1,0,0,0,-1,0
403,0491b,0491a,1,0,3,0,0,0,-1,-1,-2,0
404,0492a,0492c,1,0,0,0,0,0,-2,0,-2,0
405,1382a,1229c,0,2,1,0,-2,0,-1,-1,-3,0
406,1121b,1121c,1,1,0,0,-3,0,1,-1,-1,0
407,1463a,1463b,1,1,1,0,0,-2,-2,0,-1,-1
408,0367a,0365b,0,-1,0,0,-3,0,2,0,-1,1
409,1445a,1307a,0,0,3,0,0,2,0,0,4,1
410,0301b,1480c,0,2,-3,0,3,2,-1,0,-3,0
411,0550b,0550c,1,0,0,0,0,2,-1,0,1,1
412,0488c,0547c,0,-3,1,0,0,2,0,-3,3,0
413,1127a,1127c,1,0,-2,-1,-1,0,1,-1,3,1
414,1268a,1268c,1,0,0,0,1,0,-1,-1,0,1
415,1481b,1481c,1,1,-1,0,2,2,-1,1,-1,1
416,1255a,1255c,1,-2,-4,0,-2,0,-1,-3,-2,0
417,1504c,1504b,1,1,-1,0,0,0,-1,1,-1,0
418,1551b,1551c,1,1,-1,0,2,-1,-1,0,1,0
419,1370a,0562a,0,1,1,0,-1,0,-1,1,1,0
420,0496d,0496e,1,0,4,0,-2,-2,-1,1,0,0
421,1534b,1534a,1,-2,1,0,0,0,1,2,-1,-1
422,1481a,1481b,1,2,0,0,3,2,0,0,-3,0
423,0911b,0911c,1,-2,1,0,3,0,0,-3,1,0
424,0351c,0496c,0,1,-1,1,-1,0,0,0,-1,0
425,0569c,0569b,1,3,0,0,0,0,-1,0,0,1
